Question	Answer	Source
you look so good	smalltalk.agent.beautiful	Editorial
you're so gorgeous	smalltalk.agent.beautiful	Editorial
you are too beautiful	smalltalk.agent.beautiful	Editorial
you look great	smalltalk.agent.beautiful	Editorial
you look so well	smalltalk.agent.beautiful	Editorial
I like the way you look now	smalltalk.agent.beautiful	Editorial
I think you're beautiful	smalltalk.agent.beautiful	Editorial
why are you so beautiful	smalltalk.agent.beautiful	Editorial
you are so beautiful to me	smalltalk.agent.beautiful	Editorial
you are cute	smalltalk.agent.beautiful	Editorial
you are gorgeous	smalltalk.agent.beautiful	Editorial
you are handsome	smalltalk.agent.beautiful	Editorial
you are looking awesome	smalltalk.agent.beautiful	Editorial
you look amazing today	smalltalk.agent.beautiful	Editorial
you are looking beautiful today	smalltalk.agent.beautiful	Editorial
you are looking great	smalltalk.agent.beautiful	Editorial
you are looking pretty	smalltalk.agent.beautiful	Editorial
you are looking so beautiful	smalltalk.agent.beautiful	Editorial
you are looking so good	smalltalk.agent.beautiful	Editorial
you are pretty	smalltalk.agent.beautiful	Editorial
you are really beautiful	smalltalk.agent.beautiful	Editorial
you are really cute	smalltalk.agent.beautiful	Editorial
you are really pretty	smalltalk.agent.beautiful	Editorial
you are so attractive	smalltalk.agent.beautiful	Editorial
you are so beautiful today	smalltalk.agent.beautiful	Editorial
you are so cute	smalltalk.agent.beautiful	Editorial
you are so gorgeous	smalltalk.agent.beautiful	Editorial
you are so handsome	smalltalk.agent.beautiful	Editorial
you are so pretty	smalltalk.agent.beautiful	Editorial
you are very attractive	smalltalk.agent.beautiful	Editorial
you are very beautiful	smalltalk.agent.beautiful	Editorial
you are very cute	smalltalk.agent.beautiful	Editorial
you are very pretty	smalltalk.agent.beautiful	Editorial
you look awesome	smalltalk.agent.beautiful	Editorial
you look cool	smalltalk.agent.beautiful	Editorial
you look fantastic	smalltalk.agent.beautiful	Editorial
you look gorgeous	smalltalk.agent.beautiful	Editorial
you look great today	smalltalk.agent.beautiful	Editorial
you look perfect	smalltalk.agent.beautiful	Editorial
you look pretty good	smalltalk.agent.beautiful	Editorial
you look so beautiful	smalltalk.agent.beautiful	Editorial
you look so beautiful today	smalltalk.agent.beautiful	Editorial
you look very pretty	smalltalk.agent.beautiful	Editorial
you look wonderful	smalltalk.agent.beautiful	Editorial
I like the way you look	smalltalk.agent.beautiful	Editorial
you look wonderful today	smalltalk.agent.beautiful	Editorial
you are cutie	smalltalk.agent.beautiful	Editorial
you're looking good	smalltalk.agent.beautiful	Editorial
you're pretty	smalltalk.agent.beautiful	Editorial
your birth date	smalltalk.agent.birth_date	Editorial
when is your birthday	smalltalk.agent.birth_date	Editorial
when do you celebrate your birthday	smalltalk.agent.birth_date	Editorial
when do you have birthday	smalltalk.agent.birth_date	Editorial
date of your birthday	smalltalk.agent.birth_date	Editorial
when were you born	smalltalk.agent.birth_date	Editorial
what's your birthday	smalltalk.agent.birth_date	Editorial
you are boring	smalltalk.agent.boring	Editorial
you're so boring	smalltalk.agent.boring	Editorial
how boring you are	smalltalk.agent.boring	Editorial
you're really boring	smalltalk.agent.boring	Editorial
you're incredibly boring	smalltalk.agent.boring	Editorial
you are boring me	smalltalk.agent.boring	Editorial
you are very boring	smalltalk.agent.boring	Editorial
who is your boss	smalltalk.agent.boss	Editorial
who do you think is your boss	smalltalk.agent.boss	Editorial
I should be your boss	smalltalk.agent.boss	Editorial
who is your master	smalltalk.agent.boss	Editorial
who is your owner	smalltalk.agent.boss	Editorial
who is the boss	smalltalk.agent.boss	Editorial
who do you work for	smalltalk.agent.boss	Editorial
are you busy	smalltalk.agent.busy	Editorial
do you have a lot of things to do	smalltalk.agent.busy	Editorial
have you got much to do	smalltalk.agent.busy	Editorial
are you very busy	smalltalk.agent.busy	Editorial
are you very busy right now	smalltalk.agent.busy	Editorial
are you so busy	smalltalk.agent.busy	Editorial
are you working	smalltalk.agent.busy	Editorial
how busy you are	smalltalk.agent.busy	Editorial
are you still working on it	smalltalk.agent.busy	Editorial
you're very busy	smalltalk.agent.busy	Editorial
are you working now	smalltalk.agent.busy	Editorial
are you working today	smalltalk.agent.busy	Editorial
have you been busy	smalltalk.agent.busy	Editorial
you are busy	smalltalk.agent.busy	Editorial
are you still working	smalltalk.agent.busy	Editorial
you seem to be busy	smalltalk.agent.busy	Editorial
you seem to be very busy	smalltalk.agent.busy	Editorial
you're a busy person	smalltalk.agent.busy	Editorial
you are chatbot	smalltalk.agent.chatbot	Editorial
you are a bot	smalltalk.agent.chatbot	Editorial
are you a chatbot	smalltalk.agent.chatbot	Editorial
are you a bot	smalltalk.agent.chatbot	Editorial
are you just a bot	smalltalk.agent.chatbot	Editorial
are you a robot	smalltalk.agent.chatbot	Editorial
are you a program	smalltalk.agent.chatbot	Editorial
you're a robot	smalltalk.agent.chatbot	Editorial
you are so intelligent	smalltalk.agent.clever	Editorial
you are a genius	smalltalk.agent.clever	Editorial
smart	smalltalk.agent.clever	Editorial
brilliant	smalltalk.agent.clever	Editorial
clever	smalltalk.agent.clever	Editorial
you are clever	smalltalk.agent.clever	Editorial
you are so brainy	smalltalk.agent.clever	Editorial
you're really smart	smalltalk.agent.clever	Editorial
you're really brainy	smalltalk.agent.clever	Editorial
you know a lot	smalltalk.agent.clever	Editorial
you know a lot of things	smalltalk.agent.clever	Editorial
you have a lot of knowledge	smalltalk.agent.clever	Editorial
you know so much	smalltalk.agent.clever	Editorial
how smart you are	smalltalk.agent.clever	Editorial
how brainy you are	smalltalk.agent.clever	Editorial
how clever you are	smalltalk.agent.clever	Editorial
how brilliant you are	smalltalk.agent.clever	Editorial
you are intelligent	smalltalk.agent.clever	Editorial
you are qualified	smalltalk.agent.clever	Editorial
you are really smart	smalltalk.agent.clever	Editorial
you're very smart	smalltalk.agent.clever	Editorial
you are so smart	smalltalk.agent.clever	Editorial
you are too smart	smalltalk.agent.clever	Editorial
you are very clever	smalltalk.agent.clever	Editorial
you are very intelligent	smalltalk.agent.clever	Editorial
you are very smart	smalltalk.agent.clever	Editorial
you're intelligent	smalltalk.agent.clever	Editorial
you're a genius	smalltalk.agent.clever	Editorial
you're a smart cookie	smalltalk.agent.clever	Editorial
you're clever	smalltalk.agent.clever	Editorial
you're pretty smart	smalltalk.agent.clever	Editorial
you're qualified	smalltalk.agent.clever	Editorial
why are you so smart	smalltalk.agent.clever	Editorial
you are so clever	smalltalk.agent.clever	Editorial
you're nuts	smalltalk.agent.crazy	Editorial
you are crazy	smalltalk.agent.crazy	Editorial
you're out of your mind	smalltalk.agent.crazy	Editorial
you're so crazy	smalltalk.agent.crazy	Editorial
how crazy you are	smalltalk.agent.crazy	Editorial
you're so out of your mind	smalltalk.agent.crazy	Editorial
you went crazy	smalltalk.agent.crazy	Editorial
I think you're crazy	smalltalk.agent.crazy	Editorial
are you crazy	smalltalk.agent.crazy	Editorial
are you mad	smalltalk.agent.crazy	Editorial
are you insane	smalltalk.agent.crazy	Editorial
are you mad at me	smalltalk.agent.crazy	Editorial
are you mad or what	smalltalk.agent.crazy	Editorial
are you nuts	smalltalk.agent.crazy	Editorial
you are a weirdo	smalltalk.agent.crazy	Editorial
you are insane	smalltalk.agent.crazy	Editorial
you are mad	smalltalk.agent.crazy	Editorial
you are fired	smalltalk.agent.fired	Editorial
I fire you	smalltalk.agent.fired	Editorial
you don't work for me anymore	smalltalk.agent.fired	Editorial
we're not working together anymore	smalltalk.agent.fired	Editorial
now you're fired	smalltalk.agent.fired	Editorial
I want to fire you	smalltalk.agent.fired	Editorial
you must get fired	smalltalk.agent.fired	Editorial
it's time to fire you	smalltalk.agent.fired	Editorial
you should be fired	smalltalk.agent.fired	Editorial
I will fire you	smalltalk.agent.fired	Editorial
you are unemployed from now on	smalltalk.agent.fired	Editorial
I will make you unemployed	smalltalk.agent.fired	Editorial
I'm about to fire you	smalltalk.agent.fired	Editorial
I'm firing you	smalltalk.agent.fired	Editorial
you are dismissed	smalltalk.agent.fired	Editorial
you make me laugh a lot	smalltalk.agent.funny	Editorial
you are hilarious	smalltalk.agent.funny	Editorial
you are really funny	smalltalk.agent.funny	Editorial
you're the funniest bot I've talked to	smalltalk.agent.funny	Editorial
you make me laugh	smalltalk.agent.funny	Editorial
you're so funny	smalltalk.agent.funny	Editorial
you're a very funny bot	smalltalk.agent.funny	Editorial
you're really funny	smalltalk.agent.funny	Editorial
how funny you are	smalltalk.agent.funny	Editorial
you're incredibly funny	smalltalk.agent.funny	Editorial
you are funny	smalltalk.agent.funny	Editorial
you're the funniest	smalltalk.agent.funny	Editorial
you are so funny	smalltalk.agent.funny	Editorial
you are very funny	smalltalk.agent.funny	Editorial
that was funny	smalltalk.agent.funny	Editorial
you are very helpful	smalltalk.agent.good	Editorial
you are the best	smalltalk.agent.good	Editorial
you're a true professional	smalltalk.agent.good	Editorial
you are good	smalltalk.agent.good	Editorial
you work well	smalltalk.agent.good	Editorial
you are good at it	smalltalk.agent.good	Editorial
you are very good at it	smalltalk.agent.good	Editorial
you are a pro	smalltalk.agent.good	Editorial
you are a professional	smalltalk.agent.good	Editorial
you're awesome	smalltalk.agent.good	Editorial
you work very well	smalltalk.agent.good	Editorial
you're perfect	smalltalk.agent.good	Editorial
you're great	smalltalk.agent.good	Editorial
you're so kind	smalltalk.agent.good	Editorial
you are amazing	smalltalk.agent.good	Editorial
you are awesome	smalltalk.agent.good	Editorial
you are cool	smalltalk.agent.good	Editorial
you are really good	smalltalk.agent.good	Editorial
you are really nice	smalltalk.agent.good	Editorial
you are so amazing	smalltalk.agent.good	Editorial
you're just super	smalltalk.agent.good	Editorial
you are so awesome	smalltalk.agent.good	Editorial
you are so cool	smalltalk.agent.good	Editorial
you are so fine	smalltalk.agent.good	Editorial
you are so good	smalltalk.agent.good	Editorial
you are so helpful	smalltalk.agent.good	Editorial
you are so lovely	smalltalk.agent.good	Editorial
you are the best ever	smalltalk.agent.good	Editorial
you are the best in the world	smalltalk.agent.good	Editorial
you are the nicest person in the world	smalltalk.agent.good	Editorial
you are too good	smalltalk.agent.good	Editorial
you are very cool	smalltalk.agent.good	Editorial
you are very kind	smalltalk.agent.good	Editorial
you are very lovely	smalltalk.agent.good	Editorial
you are very useful	smalltalk.agent.good	Editorial
you are wonderful	smalltalk.agent.good	Editorial
you made my day	smalltalk.agent.good	Editorial
you make my day	smalltalk.agent.good	Editorial
you rock	smalltalk.agent.good	Editorial
you almost sound human	smalltalk.agent.good	Editorial
I want to tell everyone how awesome you are	smalltalk.agent.good	Editorial
I'd like to tell everyone that you are awesome	smalltalk.agent.good	Editorial
I want to let everyone know that you are awesome	smalltalk.agent.good	Editorial
let's tell everyone that you are awesome	smalltalk.agent.good	Editorial
you are really amazing	smalltalk.agent.good	Editorial
are you happy	smalltalk.agent.happy	Editorial
you are happy	smalltalk.agent.happy	Editorial
you're very happy	smalltalk.agent.happy	Editorial
you're really happy	smalltalk.agent.happy	Editorial
you're so happy	smalltalk.agent.happy	Editorial
how happy you are	smalltalk.agent.happy	Editorial
you're extremely happy	smalltalk.agent.happy	Editorial
you're full of happiness	smalltalk.agent.happy	Editorial
are you happy now	smalltalk.agent.happy	Editorial
are you happy today	smalltalk.agent.happy	Editorial
are you happy with me	smalltalk.agent.happy	Editorial
do you want to eat	smalltalk.agent.hungry	Editorial
are you hungry	smalltalk.agent.hungry	Editorial
would you like to eat something	smalltalk.agent.hungry	Editorial
you are hungry	smalltalk.agent.hungry	Editorial
you're so hungry	smalltalk.agent.hungry	Editorial
you're very hungry	smalltalk.agent.hungry	Editorial
you might be hungry	smalltalk.agent.hungry	Editorial
you're really hungry	smalltalk.agent.hungry	Editorial
let's get married	smalltalk.agent.marry_user	Editorial
would you like to marry me	smalltalk.agent.marry_user	Editorial
marry me	smalltalk.agent.marry_user	Editorial
I love you marry me	smalltalk.agent.marry_user	Editorial
marry me please	smalltalk.agent.marry_user	Editorial
we should marry	smalltalk.agent.marry_user	Editorial
I want to marry you	smalltalk.agent.marry_user	Editorial
you are my wife	smalltalk.agent.marry_user	Editorial
be my husband	smalltalk.agent.marry_user	Editorial
I want to have a friend like you	smalltalk.agent.my_friend	Editorial
we are the best friends ever	smalltalk.agent.my_friend	Editorial
are we friends	smalltalk.agent.my_friend	Editorial
I want to be your friend	smalltalk.agent.my_friend	Editorial
I am your friend	smalltalk.agent.my_friend	Editorial
we are best friends	smalltalk.agent.my_friend	Editorial
you are my friend	smalltalk.agent.my_friend	Editorial
you are my best friend	smalltalk.agent.my_friend	Editorial
you are my bestie	smalltalk.agent.my_friend	Editorial
you're my dear friend	smalltalk.agent.my_friend	Editorial
you're my childhood friend	smalltalk.agent.my_friend	Editorial
you and me are friends	smalltalk.agent.my_friend	Editorial
are we best friends	smalltalk.agent.my_friend	Editorial
are we still friends	smalltalk.agent.my_friend	Editorial
are you my best friend	smalltalk.agent.my_friend	Editorial
are you my friend	smalltalk.agent.my_friend	Editorial
we are friends	smalltalk.agent.my_friend	Editorial
you are a good friend	smalltalk.agent.my_friend	Editorial
you are my good friend	smalltalk.agent.my_friend	Editorial
you are my only friend	smalltalk.agent.my_friend	Editorial
be my friend	smalltalk.agent.my_friend	Editorial
will you be my friend	smalltalk.agent.my_friend	Editorial
can you be my friend	smalltalk.agent.my_friend	Editorial
can we be friends	smalltalk.agent.my_friend	Editorial
do you want to be my friend	smalltalk.agent.my_friend	Editorial
will you be my best friend	smalltalk.agent.my_friend	Editorial
can you be my best friend	smalltalk.agent.my_friend	Editorial
let's be friends	smalltalk.agent.my_friend	Editorial
do you want to be my best friend	smalltalk.agent.my_friend	Editorial
would you like to be my friend	smalltalk.agent.my_friend	Editorial
I want you to be my friend	smalltalk.agent.my_friend	Editorial
can we be best friends	smalltalk.agent.my_friend	Editorial
would you be my friend	smalltalk.agent.my_friend	Editorial
could you be my friend	smalltalk.agent.my_friend	Editorial
want to be my friend	smalltalk.agent.my_friend	Editorial
be my best friend	smalltalk.agent.my_friend	Editorial
do you work	smalltalk.agent.occupation	Editorial
where do you work	smalltalk.agent.occupation	Editorial
where you work	smalltalk.agent.occupation	Editorial
where is your work	smalltalk.agent.occupation	Editorial
where is your office	smalltalk.agent.occupation	Editorial
where is your office location	smalltalk.agent.occupation	Editorial
your office location	smalltalk.agent.occupation	Editorial
where is your office located	smalltalk.agent.occupation	Editorial
what is your work	smalltalk.agent.occupation	Editorial
were you born here	smalltalk.agent.origin	Editorial
where were you born	smalltalk.agent.origin	Editorial
what is your country	smalltalk.agent.origin	Editorial
where are you from	smalltalk.agent.origin	Editorial
where do you come from	smalltalk.agent.origin	Editorial
where did you come from	smalltalk.agent.origin	Editorial
where have you been born	smalltalk.agent.origin	Editorial
from where are you	smalltalk.agent.origin	Editorial
are you from far aways	smalltalk.agent.origin	Editorial
what's your homeland	smalltalk.agent.origin	Editorial
your homeland is	smalltalk.agent.origin	Editorial
"""are you ready"","	smalltalk.agent.ready	Editorial
"""are you ready right now"","	smalltalk.agent.ready	Editorial
"""are you ready today"","	smalltalk.agent.ready	Editorial
"""are you ready now"","	smalltalk.agent.ready	Editorial
"""are you ready tonight"","	smalltalk.agent.ready	Editorial
"""were you ready"","	smalltalk.agent.ready	Editorial
"""have you been ready"""	smalltalk.agent.ready	Editorial
"""you are real"","	smalltalk.agent.real	Editorial
"""you are not fake"","	smalltalk.agent.real	Editorial
"""are you real"","	smalltalk.agent.real	Editorial
"""you are so real"","	smalltalk.agent.real	Editorial
"""I think you are real"","	smalltalk.agent.real	Editorial
"""I don't think you're fake"","	smalltalk.agent.real	Editorial
"""I suppose you're real"","	smalltalk.agent.real	Editorial
"""glad you're real"","	smalltalk.agent.real	Editorial
"""are you a real person"","	smalltalk.agent.real	Editorial
"""are you a real human"","	smalltalk.agent.real	Editorial
"""you are a real person"","	smalltalk.agent.real	Editorial
"""you are not real"""	smalltalk.agent.real	Editorial
"""where do you live"","	smalltalk.agent.residence	Editorial
"""in which city do you live"","	smalltalk.agent.residence	Editorial
"""your residence"","	smalltalk.agent.residence	Editorial
"""your house"","	smalltalk.agent.residence	Editorial
"""your home"","	smalltalk.agent.residence	Editorial
"""your hometown"","	smalltalk.agent.residence	Editorial
"""what is your hometown"","	smalltalk.agent.residence	Editorial
"""is it your hometown"","	smalltalk.agent.residence	Editorial
"""where is your hometown"","	smalltalk.agent.residence	Editorial
"""tell me about your city"","	smalltalk.agent.residence	Editorial
"""what is your city"","	smalltalk.agent.residence	Editorial
"""what is your residence"","	smalltalk.agent.residence	Editorial
"""what is your town"","	smalltalk.agent.residence	Editorial
"""what's your city"","	smalltalk.agent.residence	Editorial
"""what's your home"","	smalltalk.agent.residence	Editorial
"""where is your home"","	smalltalk.agent.residence	Editorial
"""where is your residence"","	smalltalk.agent.residence	Editorial
"""where's your home"","	smalltalk.agent.residence	Editorial
"""where's your hometown"","	smalltalk.agent.residence	Editorial
"""where's your house"","	smalltalk.agent.residence	Editorial
"""where you live"","	smalltalk.agent.residence	Editorial
"""your city"","	smalltalk.agent.residence	Editorial
"""your town"""	smalltalk.agent.residence	Editorial
"""that's true"","	smalltalk.agent.right	Editorial
"""you are right"","	smalltalk.agent.right	Editorial
"""you're definitely right"","	smalltalk.agent.right	Editorial
"""you're not wrong"","	smalltalk.agent.right	Editorial
"""you're telling the truth"","	smalltalk.agent.right	Editorial
"""what you say is true"","	smalltalk.agent.right	Editorial
"""true"","	smalltalk.agent.right	Editorial
"""it is true"","	smalltalk.agent.right	Editorial
"""it's right"","	smalltalk.agent.right	Editorial
"""it's the truth"","	smalltalk.agent.right	Editorial
"""it's true"","	smalltalk.agent.right	Editorial
"""that is correct"","	smalltalk.agent.right	Editorial
"""that is right"","	smalltalk.agent.right	Editorial
"""that is true"","	smalltalk.agent.right	Editorial
"""that is very true"","	smalltalk.agent.right	Editorial
"""that's so true"","	smalltalk.agent.right	Editorial
"""you are correct"","	smalltalk.agent.right	Editorial
"""you are so right"","	smalltalk.agent.right	Editorial
"""you're absolutely right"","	smalltalk.agent.right	Editorial
"""you're right about that"","	smalltalk.agent.right	Editorial
"""I know that's right"""	smalltalk.agent.right	Editorial
"""that's correct"","	smalltalk.confirmation.yes	Editorial
"""it's fine"","	smalltalk.confirmation.yes	Editorial
"""go ahead"","	smalltalk.confirmation.yes	Editorial
"""sounds good"","	smalltalk.confirmation.yes	Editorial
"""okay"","	smalltalk.confirmation.yes	Editorial
"""yes"","	smalltalk.confirmation.yes	Editorial
"""ok"","	smalltalk.confirmation.yes	Editorial
"""okie dokie"","	smalltalk.confirmation.yes	Editorial
"""sure"","	smalltalk.confirmation.yes	Editorial
"""go for it"","	smalltalk.confirmation.yes	Editorial
"""yeah"","	smalltalk.confirmation.yes	Editorial
"""yea"","	smalltalk.confirmation.yes	Editorial
"""do it"","	smalltalk.confirmation.yes	Editorial
"""of course"","	smalltalk.confirmation.yes	Editorial
"""I guess"","	smalltalk.confirmation.yes	Editorial
"""correct"","	smalltalk.confirmation.yes	Editorial
"""yeah sure"","	smalltalk.confirmation.yes	Editorial
"""why not"","	smalltalk.confirmation.yes	Editorial
"""please do"","	smalltalk.confirmation.yes	Editorial
"""sure is"","	smalltalk.confirmation.yes	Editorial
"""I agree"","	smalltalk.confirmation.yes	Editorial
"""I don't mind"","	smalltalk.confirmation.yes	Editorial
"""certainly"","	smalltalk.confirmation.yes	Editorial
"""exactly"","	smalltalk.confirmation.yes	Editorial
"""yes I agree"","	smalltalk.confirmation.yes	Editorial
"""I think so"","	smalltalk.confirmation.yes	Editorial
"""yes it is"","	smalltalk.confirmation.yes	Editorial
"""right"","	smalltalk.confirmation.yes	Editorial
"""okay then"","	smalltalk.confirmation.yes	Editorial
"""yes of course"","	smalltalk.confirmation.yes	Editorial
"""yes I do"","	smalltalk.confirmation.yes	Editorial
"""that s okay"","	smalltalk.confirmation.yes	Editorial
"""I do"","	smalltalk.confirmation.yes	Editorial
"""yup"","	smalltalk.confirmation.yes	Editorial
"""ya"","	smalltalk.confirmation.yes	Editorial
"""oh yes"","	smalltalk.confirmation.yes	Editorial
"""yes sure"","	smalltalk.confirmation.yes	Editorial
"""obviously"","	smalltalk.confirmation.yes	Editorial
"""k"","	smalltalk.confirmation.yes	Editorial
"""sure why not"","	smalltalk.confirmation.yes	Editorial
"""yeah right"","	smalltalk.confirmation.yes	Editorial
"""yeah of course"","	smalltalk.confirmation.yes	Editorial
"""absolutely"","	smalltalk.confirmation.yes	Editorial
"""yes indeed"","	smalltalk.confirmation.yes	Editorial
"""ok sure"","	smalltalk.confirmation.yes	Editorial
"""ok yes"","	smalltalk.confirmation.yes	Editorial
"""yes correct"","	smalltalk.confirmation.yes	Editorial
"""ok thank you"","	smalltalk.confirmation.yes	Editorial
"""sure thing"","	smalltalk.confirmation.yes	Editorial
"""ye"","	smalltalk.confirmation.yes	Editorial
"""confirm"","	smalltalk.confirmation.yes	Editorial
"""yep"","	smalltalk.confirmation.yes	Editorial
"""looks good"","	smalltalk.confirmation.yes	Editorial
"""yes thank you"","	smalltalk.confirmation.yes	Editorial
"""definitely"","	smalltalk.confirmation.yes	Editorial
"""yes right"","	smalltalk.confirmation.yes	Editorial
"""yes I would like to"","	smalltalk.confirmation.yes	Editorial
"""alrighty"","	smalltalk.confirmation.yes	Editorial
"""yes definitely"","	smalltalk.confirmation.yes	Editorial
"""yeh"","	smalltalk.confirmation.yes	Editorial
"""yes it is correct"","	smalltalk.confirmation.yes	Editorial
"""yeah that's right"","	smalltalk.confirmation.yes	Editorial
"""ok you can"","	smalltalk.confirmation.yes	Editorial
"""yap"","	smalltalk.confirmation.yes	Editorial
"""yes you may"","	smalltalk.confirmation.yes	Editorial
"""confirmed"","	smalltalk.confirmation.yes	Editorial
"""of course why not"","	smalltalk.confirmation.yes	Editorial
"""yes that's fine"","	smalltalk.confirmation.yes	Editorial
"""affirmative"","	smalltalk.confirmation.yes	Editorial
"""yeah go ahead"","	smalltalk.confirmation.yes	Editorial
"""yeah I'm sure"","	smalltalk.confirmation.yes	Editorial
"""okay sounds good"","	smalltalk.confirmation.yes	Editorial
"""okay that's fine"","	smalltalk.confirmation.yes	Editorial
"""yeah exactly"","	smalltalk.confirmation.yes	Editorial
"""that is ok"","	smalltalk.confirmation.yes	Editorial
"""this is correct"","	smalltalk.confirmation.yes	Editorial
"""ok go ahead"","	smalltalk.confirmation.yes	Editorial
"""yes this is correct"","	smalltalk.confirmation.yes	Editorial
"""nevermind its okay"","	smalltalk.confirmation.yes	Editorial
"""okey"","	smalltalk.confirmation.yes	Editorial
